Index,Ground Truth,Prediction,Decision,Confidence
33,DoS,Reconnaissance,BLOCK,0.49
34,Backdoor,Reconnaissance,BLOCK,0.49
35,Fuzzers,Reconnaissance,BLOCK,0.58
36,Fuzzers,Reconnaissance,BLOCK,0.49
37,Normal,Normal,ALLOW,0.5
38,Exploits,Reconnaissance,BLOCK,0.49
39,Generic,Generic,BLOCK,0.82
40,Fuzzers,Exploits,BLOCK,0.45
41,Reconnaissance,Exploits,BLOCK,0.37
42,Backdoor,Reconnaissance,BLOCK,0.49
43,Normal,Normal,ALLOW,0.5
44,Reconnaissance,Exploits,BLOCK,0.51
45,Worms,Exploits,BLOCK,0.77
46,Normal,Exploits,BLOCK,0.36
47,Backdoor,Reconnaissance,BLOCK,0.49
48,Exploits,Reconnaissance,BLOCK,0.58
49,Exploits,Exploits,BLOCK,0.39
50,Exploits,Exploits,BLOCK,0.44
51,Worms,Exploits,BLOCK,0.34
52,Fuzzers,Exploits,BLOCK,0.38
53,Shellcode,Reconnaissance,BLOCK,0.58
54,Analysis,Reconnaissance,BLOCK,0.49
55,Normal,Exploits,BLOCK,0.59
56,Fuzzers,Reconnaissance,BLOCK,0.58
57,Normal,Normal,ALLOW,0.5
58,Normal,Normal,ALLOW,0.37
59,Analysis,Reconnaissance,BLOCK,0.49
60,Fuzzers,Exploits,BLOCK,0.3
61,Fuzzers,Exploits,BLOCK,0.4
62,Analysis,DoS,BLOCK,0.38
63,Worms,Exploits,BLOCK,0.59
64,Normal,Normal,ALLOW,0.5
65,Shellcode,Exploits,BLOCK,0.27
66,Analysis,DoS,BLOCK,0.55
67,Normal,Reconnaissance,BLOCK,0.49
68,Normal,Exploits,BLOCK,0.53
69,Normal,Exploits,BLOCK,0.68
70,Analysis,Reconnaissance,BLOCK,0.49
71,Backdoor,Reconnaissance,BLOCK,0.49
72,Normal,Normal,ALLOW,0.5
73,Normal,Exploits,BLOCK,0.44
74,Normal,Exploits,BLOCK,0.49
75,Backdoor,DoS,BLOCK,0.68
76,DoS,DoS,BLOCK,0.55
77,Exploits,Exploits,BLOCK,0.43
78,Normal,DoS,BLOCK,0.68
79,DoS,Reconnaissance,BLOCK,0.49
80,Reconnaissance,Reconnaissance,BLOCK,0.49
81,DoS,Reconnaissance,BLOCK,0.49
82,Normal,Normal,ALLOW,0.5
83,Normal,Normal,ALLOW,0.5
84,Normal,Normal,ALLOW,0.5
85,Normal,Normal,ALLOW,0.5
86,Normal,Normal,ALLOW,0.5
87,Normal,DoS,BLOCK,0.68
88,Backdoor,Exploits,BLOCK,0.61
89,Worms,Exploits,BLOCK,0.45
90,Normal,Normal,ALLOW,0.5
91,Generic,Generic,BLOCK,0.82
92,Generic,Generic,BLOCK,0.82
93,Normal,Normal,ALLOW,0.5
94,Normal,Exploits,BLOCK,0.51
95,Analysis,Reconnaissance,BLOCK,0.49
96,DoS,Exploits,BLOCK,0.68
97,Normal,DoS,BLOCK,0.68
98,DoS,Reconnaissance,BLOCK,0.49
99,Normal,Reconnaissance,BLOCK,0.49
100,Exploits,Reconnaissance,BLOCK,0.49
101,Reconnaissance,Reconnaissance,BLOCK,0.58
102,Generic,Generic,BLOCK,0.82
103,Normal,Exploits,BLOCK,0.37
104,Normal,Normal,ALLOW,0.5
105,Normal,Reconnaissance,BLOCK,0.58
106,Normal,Exploits,BLOCK,0.53
107,Analysis,Exploits,BLOCK,0.42
108,Backdoor,Reconnaissance,BLOCK,0.49
109,DoS,Reconnaissance,BLOCK,0.49
110,Fuzzers,Reconnaissance,BLOCK,0.58
111,Normal,Normal,ALLOW,0.5
112,Normal,Normal,ALLOW,0.5
113,Fuzzers,Exploits,BLOCK,0.33
114,Exploits,Reconnaissance,BLOCK,0.49
115,Normal,Normal,ALLOW,0.5
116,Normal,Normal,ALLOW,0.5
117,DoS,Exploits,BLOCK,0.41
118,Normal,Normal,ALLOW,0.5
119,Normal,Exploits,BLOCK,0.44
120,Backdoor,Reconnaissance,BLOCK,0.49
121,Shellcode,Reconnaissance,BLOCK,0.58
122,DoS,Reconnaissance,BLOCK,0.49
123,Normal,Exploits,BLOCK,0.53
124,Normal,Exploits,BLOCK,0.53
125,Worms,Normal,ALLOW,0.34
126,Generic,Generic,BLOCK,0.82
127,Normal,Reconnaissance,BLOCK,0.58
128,Normal,Normal,ALLOW,0.5
129,DoS,Reconnaissance,BLOCK,0.49
130,Normal,Normal,ALLOW,0.5
131,Backdoor,Reconnaissance,BLOCK,0.49
132,Normal,Exploits,BLOCK,0.37
133,Generic,Reconnaissance,BLOCK,0.49
134,Normal,Normal,ALLOW,0.5
135,Backdoor,Reconnaissance,BLOCK,0.49
136,Shellcode,Exploits,BLOCK,0.34
137,Generic,Generic,BLOCK,0.82
138,Normal,Normal,ALLOW,0.5
139,Generic,Generic,BLOCK,0.82
140,Normal,Normal,ALLOW,0.5
0,Normal,Normal,ALLOW,0.5
1,Shellcode,Exploits,BLOCK,0.48
2,Generic,Generic,BLOCK,0.82
3,Normal,Exploits,BLOCK,0.53
4,Backdoor,Reconnaissance,BLOCK,0.49
5,Analysis,Reconnaissance,BLOCK,0.49
6,Reconnaissance,Reconnaissance,BLOCK,0.49
7,Normal,Normal,ALLOW,0.5
8,Worms,Exploits,BLOCK,0.41
9,Normal,Normal,ALLOW,0.5
10,Worms,Exploits,BLOCK,0.36
10,Worms,Exploits,BLOCK,0.36
11,Normal,Normal,ALLOW,0.5
12,Worms,Normal,ALLOW,0.26
13,Normal,Normal,ALLOW,0.37
14,Reconnaissance,Reconnaissance,BLOCK,0.58
15,Exploits,Exploits,BLOCK,0.44
16,Normal,DoS,BLOCK,0.68
17,Analysis,Reconnaissance,BLOCK,0.49
18,Worms,Exploits,BLOCK,0.49
19,Normal,Exploits,BLOCK,0.26
20,Shellcode,Exploits,BLOCK,0.48
0,Normal,Normal,ALLOW,0.5
1,Shellcode,Exploits,BLOCK,0.48
2,Generic,Generic,BLOCK,0.82
3,Normal,Exploits,BLOCK,0.53
4,Backdoor,Reconnaissance,BLOCK,0.49
5,Analysis,Reconnaissance,BLOCK,0.49
6,Reconnaissance,Reconnaissance,BLOCK,0.49
7,Normal,Normal,ALLOW,0.5
8,Worms,Exploits,BLOCK,0.41
9,Normal,Normal,ALLOW,0.5
10,Worms,Exploits,BLOCK,0.36
11,Normal,Normal,ALLOW,0.5
12,Worms,Normal,ALLOW,0.26
13,Normal,Normal,ALLOW,0.37
14,Reconnaissance,Reconnaissance,BLOCK,0.58
15,Exploits,Exploits,BLOCK,0.44
16,Normal,DoS,BLOCK,0.68
17,Analysis,Reconnaissance,BLOCK,0.49
18,Worms,Exploits,BLOCK,0.49
19,Normal,Exploits,BLOCK,0.26
20,Shellcode,Exploits,BLOCK,0.48
21,Normal,Normal,ALLOW,0.5
22,Normal,Normal,ALLOW,0.5
23,DoS,Reconnaissance,BLOCK,0.49
24,Worms,Exploits,BLOCK,0.42
25,Normal,Reconnaissance,BLOCK,0.58
26,Normal,Reconnaissance,BLOCK,0.58
27,Generic,Generic,BLOCK,0.82
28,Normal,Normal,ALLOW,0.5
29,Normal,Normal,ALLOW,0.5
30,Exploits,Reconnaissance,BLOCK,0.49
31,Normal,Normal,ALLOW,0.5
32,Normal,Normal,ALLOW,0.5
33,DoS,Reconnaissance,BLOCK,0.49
34,Backdoor,Reconnaissance,BLOCK,0.49
35,Fuzzers,Reconnaissance,BLOCK,0.58
36,Fuzzers,Reconnaissance,BLOCK,0.49
37,Normal,Normal,ALLOW,0.5
38,Exploits,Reconnaissance,BLOCK,0.49
39,Generic,Generic,BLOCK,0.82
40,Fuzzers,Exploits,BLOCK,0.45
41,Reconnaissance,Exploits,BLOCK,0.37
42,Backdoor,Reconnaissance,BLOCK,0.49
43,Normal,Normal,ALLOW,0.5
44,Reconnaissance,Exploits,BLOCK,0.51
45,Worms,Exploits,BLOCK,0.77
46,Normal,Exploits,BLOCK,0.36
47,Backdoor,Reconnaissance,BLOCK,0.49
48,Exploits,Reconnaissance,BLOCK,0.58
49,Exploits,Exploits,BLOCK,0.39
50,Exploits,Exploits,BLOCK,0.44
51,Worms,Exploits,BLOCK,0.34
52,Fuzzers,Exploits,BLOCK,0.38
53,Shellcode,Reconnaissance,BLOCK,0.58
54,Analysis,Reconnaissance,BLOCK,0.49
55,Normal,Exploits,BLOCK,0.59
56,Fuzzers,Reconnaissance,BLOCK,0.58
57,Normal,Normal,ALLOW,0.5
58,Normal,Normal,ALLOW,0.37
59,Analysis,Reconnaissance,BLOCK,0.49
60,Fuzzers,Exploits,BLOCK,0.3
61,Fuzzers,Exploits,BLOCK,0.4
62,Analysis,DoS,BLOCK,0.38
63,Worms,Exploits,BLOCK,0.59
64,Normal,Normal,ALLOW,0.5
65,Shellcode,Exploits,BLOCK,0.27
66,Analysis,DoS,BLOCK,0.55
67,Normal,Reconnaissance,BLOCK,0.49
68,Normal,Exploits,BLOCK,0.53
69,Normal,Exploits,BLOCK,0.68
70,Analysis,Reconnaissance,BLOCK,0.49
71,Backdoor,Reconnaissance,BLOCK,0.49
72,Normal,Normal,ALLOW,0.5
73,Normal,Exploits,BLOCK,0.44
74,Normal,Exploits,BLOCK,0.49
75,Backdoor,DoS,BLOCK,0.68
76,DoS,DoS,BLOCK,0.55
77,Exploits,Exploits,BLOCK,0.43
78,Normal,DoS,BLOCK,0.68
79,DoS,Reconnaissance,BLOCK,0.49
80,Reconnaissance,Reconnaissance,BLOCK,0.49
81,DoS,Reconnaissance,BLOCK,0.49
82,Normal,Normal,ALLOW,0.5
83,Normal,Normal,ALLOW,0.5
84,Normal,Normal,ALLOW,0.5
85,Normal,Normal,ALLOW,0.5
86,Normal,Normal,ALLOW,0.5
87,Normal,DoS,BLOCK,0.68
88,Backdoor,Exploits,BLOCK,0.61
89,Worms,Exploits,BLOCK,0.45
90,Normal,Normal,ALLOW,0.5
91,Generic,Generic,BLOCK,0.82
92,Generic,Generic,BLOCK,0.82
93,Normal,Normal,ALLOW,0.5
94,Normal,Exploits,BLOCK,0.51
95,Analysis,Reconnaissance,BLOCK,0.49
96,DoS,Exploits,BLOCK,0.68
97,Normal,DoS,BLOCK,0.68
98,DoS,Reconnaissance,BLOCK,0.49
99,Normal,Reconnaissance,BLOCK,0.49
100,Exploits,Reconnaissance,BLOCK,0.49
101,Reconnaissance,Reconnaissance,BLOCK,0.58
102,Generic,Generic,BLOCK,0.82
103,Normal,Exploits,BLOCK,0.37
104,Normal,Normal,ALLOW,0.5
105,Normal,Reconnaissance,BLOCK,0.58
106,Normal,Exploits,BLOCK,0.53
107,Analysis,Exploits,BLOCK,0.42
108,Backdoor,Reconnaissance,BLOCK,0.49
109,DoS,Reconnaissance,BLOCK,0.49
110,Fuzzers,Reconnaissance,BLOCK,0.58
111,Normal,Normal,ALLOW,0.5
112,Normal,Normal,ALLOW,0.5
113,Fuzzers,Exploits,BLOCK,0.33
114,Exploits,Reconnaissance,BLOCK,0.49
115,Normal,Normal,ALLOW,0.5
116,Normal,Normal,ALLOW,0.5
117,DoS,Exploits,BLOCK,0.41
118,Normal,Normal,ALLOW,0.5
119,Normal,Exploits,BLOCK,0.44
120,Backdoor,Reconnaissance,BLOCK,0.49
121,Shellcode,Reconnaissance,BLOCK,0.58
122,DoS,Reconnaissance,BLOCK,0.49
123,Normal,Exploits,BLOCK,0.53
124,Normal,Exploits,BLOCK,0.53
125,Worms,Normal,ALLOW,0.34
126,Generic,Generic,BLOCK,0.82
127,Normal,Reconnaissance,BLOCK,0.58
128,Normal,Normal,ALLOW,0.5
129,DoS,Reconnaissance,BLOCK,0.49
130,Normal,Normal,ALLOW,0.5
131,Backdoor,Reconnaissance,BLOCK,0.49
132,Normal,Exploits,BLOCK,0.37
133,Generic,Reconnaissance,BLOCK,0.49
134,Normal,Normal,ALLOW,0.5
135,Backdoor,Reconnaissance,BLOCK,0.49
136,Shellcode,Exploits,BLOCK,0.34
137,Generic,Generic,BLOCK,0.82
138,Normal,Normal,ALLOW,0.5
139,Generic,Generic,BLOCK,0.82
140,Normal,Normal,ALLOW,0.5
141,Normal,Exploits,BLOCK,0.53
142,Exploits,Exploits,BLOCK,0.31
143,Normal,Normal,ALLOW,0.5
144,Backdoor,Reconnaissance,BLOCK,0.49
145,Normal,Normal,ALLOW,0.37
146,Fuzzers,Exploits,BLOCK,0.52
147,Reconnaissance,Reconnaissance,BLOCK,0.49
148,Normal,Exploits,BLOCK,0.45
149,Normal,DoS,BLOCK,0.68
150,Reconnaissance,Reconnaissance,BLOCK,0.58
151,Normal,Normal,ALLOW,0.5
152,Normal,DoS,BLOCK,0.68
153,Generic,Generic,BLOCK,0.82
154,Normal,Normal,ALLOW,0.5
155,Exploits,Exploits,BLOCK,0.36
156,Exploits,Exploits,BLOCK,0.48
157,Normal,Normal,ALLOW,0.5
158,Analysis,Exploits,BLOCK,0.38
159,Normal,Normal,ALLOW,0.5
160,DoS,Exploits,BLOCK,0.5
161,Shellcode,Reconnaissance,BLOCK,0.58
162,Worms,Exploits,BLOCK,0.39
163,Shellcode,Reconnaissance,BLOCK,0.58
164,Normal,Normal,ALLOW,0.5
165,Fuzzers,Exploits,BLOCK,0.31
166,Normal,Exploits,BLOCK,0.33
167,Normal,Normal,ALLOW,0.5
168,Normal,Normal,ALLOW,0.5
169,Analysis,Reconnaissance,BLOCK,0.49
170,Normal,Exploits,BLOCK,0.53
171,Normal,Exploits,BLOCK,0.53
172,Shellcode,Reconnaissance,BLOCK,0.58
173,Shellcode,Reconnaissance,BLOCK,0.58
174,Normal,Exploits,BLOCK,0.53
175,Normal,Exploits,BLOCK,0.46
176,Normal,Normal,ALLOW,0.5
177,Normal,Exploits,BLOCK,0.31
178,Reconnaissance,Exploits,BLOCK,0.72
0,Normal,Reconnaissance,BLOCK,0.58
1,Normal,Normal,ALLOW,0.5
2,Normal,Normal,ALLOW,0.5
3,Normal,Exploits,BLOCK,0.53
4,Normal,Normal,ALLOW,0.5
5,Exploits,Reconnaissance,BLOCK,0.58
6,Normal,Normal,ALLOW,0.5
7,Normal,Normal,ALLOW,0.5
8,Fuzzers,Exploits,BLOCK,0.5
9,Normal,Normal,ALLOW,0.5
10,Normal,Normal,ALLOW,0.5
11,Normal,Exploits,BLOCK,0.53
12,Fuzzers,Exploits,BLOCK,0.4
13,Shellcode,Reconnaissance,BLOCK,0.58
14,Normal,Exploits,BLOCK,0.53
15,Analysis,Reconnaissance,BLOCK,0.49
16,Normal,Exploits,BLOCK,0.53
17,Shellcode,Exploits,BLOCK,0.27
18,Normal,Reconnaissance,BLOCK,0.58
19,Worms,Exploits,BLOCK,0.45
20,Normal,Normal,ALLOW,0.5
21,DoS,Reconnaissance,BLOCK,0.49
22,Normal,Exploits,BLOCK,0.53
0,Normal,Reconnaissance,BLOCK,0.58
1,Normal,Normal,ALLOW,0.5
2,Normal,Normal,ALLOW,0.5
3,Normal,Exploits,BLOCK,0.53
4,Normal,Normal,ALLOW,0.5
5,Exploits,Reconnaissance,BLOCK,0.58
6,Normal,Normal,ALLOW,0.5
7,Normal,Normal,ALLOW,0.5
8,Fuzzers,Exploits,BLOCK,0.5
9,Normal,Normal,ALLOW,0.5
10,Normal,Normal,ALLOW,0.5
11,Normal,Exploits,BLOCK,0.53
12,Fuzzers,Exploits,BLOCK,0.4
13,Shellcode,Reconnaissance,BLOCK,0.58
14,Normal,Exploits,BLOCK,0.53
15,Analysis,Reconnaissance,BLOCK,0.49
16,Normal,Exploits,BLOCK,0.53
17,Shellcode,Exploits,BLOCK,0.27
18,Normal,Reconnaissance,BLOCK,0.58
19,Worms,Exploits,BLOCK,0.45
20,Normal,Normal,ALLOW,0.5
21,DoS,Reconnaissance,BLOCK,0.49
22,Normal,Exploits,BLOCK,0.53
23,Worms,Exploits,BLOCK,0.36
24,Normal,Exploits,BLOCK,0.44
25,Normal,Normal,ALLOW,0.5
26,Normal,Reconnaissance,BLOCK,0.49
27,Normal,DoS,BLOCK,0.68
28,Normal,Normal,ALLOW,0.5
29,Normal,Exploits,BLOCK,0.51
30,Normal,DoS,BLOCK,0.68
31,Generic,Generic,BLOCK,0.82
32,Normal,Normal,ALLOW,0.5
33,Backdoor,Reconnaissance,BLOCK,0.49
34,Backdoor,Exploits,BLOCK,0.61
35,Shellcode,Exploits,BLOCK,0.5
36,Normal,Normal,ALLOW,0.5
37,Reconnaissance,Exploits,BLOCK,0.39
38,Normal,Normal,ALLOW,0.5
39,Backdoor,Reconnaissance,BLOCK,0.49
40,Normal,Exploits,BLOCK,0.53
41,Normal,Normal,ALLOW,0.5
0,Normal,Reconnaissance,BLOCK,0.58
1,Normal,Normal,ALLOW,0.5
2,Normal,Normal,ALLOW,0.5
3,Normal,Exploits,BLOCK,0.53
4,Normal,Normal,ALLOW,0.5
5,Exploits,Reconnaissance,BLOCK,0.58
6,Normal,Normal,ALLOW,0.5
7,Normal,Normal,ALLOW,0.5
8,Fuzzers,Exploits,BLOCK,0.5
9,Normal,Normal,ALLOW,0.5
10,Normal,Normal,ALLOW,0.5
11,Normal,Exploits,BLOCK,0.53
12,Fuzzers,Exploits,BLOCK,0.4
13,Shellcode,Reconnaissance,BLOCK,0.58
14,Normal,Exploits,BLOCK,0.53
15,Analysis,Reconnaissance,BLOCK,0.49
16,Normal,Exploits,BLOCK,0.53
17,Shellcode,Exploits,BLOCK,0.27
18,Normal,Reconnaissance,BLOCK,0.58
19,Worms,Exploits,BLOCK,0.45
20,Normal,Normal,ALLOW,0.5
0,Normal,Reconnaissance,BLOCK,0.58
1,Normal,Normal,ALLOW,0.5
2,Normal,Normal,ALLOW,0.5
3,Normal,Exploits,BLOCK,0.53
4,Normal,Normal,ALLOW,0.5
5,Exploits,Reconnaissance,BLOCK,0.58
6,Normal,Normal,ALLOW,0.5
7,Normal,Normal,ALLOW,0.5
8,Fuzzers,Exploits,BLOCK,0.5
9,Normal,Normal,ALLOW,0.5
10,Normal,Normal,ALLOW,0.5
11,Normal,Exploits,BLOCK,0.53
12,Fuzzers,Exploits,BLOCK,0.4
13,Shellcode,Reconnaissance,BLOCK,0.58
14,Normal,Exploits,BLOCK,0.53
15,Analysis,Reconnaissance,BLOCK,0.49
16,Normal,Exploits,BLOCK,0.53
17,Shellcode,Exploits,BLOCK,0.27
18,Normal,Reconnaissance,BLOCK,0.58
19,Worms,Exploits,BLOCK,0.45
20,Normal,Normal,ALLOW,0.5
21,DoS,Reconnaissance,BLOCK,0.49
22,Normal,Exploits,BLOCK,0.53
23,Worms,Exploits,BLOCK,0.36
24,Normal,Exploits,BLOCK,0.44
25,Normal,Normal,ALLOW,0.5
26,Normal,Reconnaissance,BLOCK,0.49
27,Normal,DoS,BLOCK,0.68
28,Normal,Normal,ALLOW,0.5
29,Normal,Exploits,BLOCK,0.51
30,Normal,DoS,BLOCK,0.68
31,Generic,Generic,BLOCK,0.82
32,Normal,Normal,ALLOW,0.5
33,Backdoor,Reconnaissance,BLOCK,0.49
34,Backdoor,Exploits,BLOCK,0.61
35,Shellcode,Exploits,BLOCK,0.5
36,Normal,Normal,ALLOW,0.5
37,Reconnaissance,Exploits,BLOCK,0.39
38,Normal,Normal,ALLOW,0.5
39,Backdoor,Reconnaissance,BLOCK,0.49
40,Normal,Exploits,BLOCK,0.53
41,Normal,Normal,ALLOW,0.5
42,Normal,Reconnaissance,BLOCK,0.58
43,Normal,Normal,ALLOW,0.5
44,Worms,Exploits,BLOCK,0.77
45,Normal,Exploits,BLOCK,0.53
46,Normal,Normal,ALLOW,0.5
47,Normal,Reconnaissance,BLOCK,0.58
48,Normal,Normal,ALLOW,0.5
49,Normal,Normal,ALLOW,0.5
50,Shellcode,Reconnaissance,BLOCK,0.58
51,Normal,Normal,ALLOW,0.5
52,Normal,Normal,ALLOW,0.5
53,Normal,Exploits,BLOCK,0.48
54,Fuzzers,Exploits,BLOCK,0.49
0,Normal,Reconnaissance,BLOCK,0.58
1,Normal,Normal,ALLOW,0.5
2,Normal,Normal,ALLOW,0.5
3,Normal,Exploits,BLOCK,0.53
4,Normal,Normal,ALLOW,0.5
5,Exploits,Reconnaissance,BLOCK,0.58
6,Normal,Normal,ALLOW,0.5
7,Normal,Normal,ALLOW,0.5
8,Fuzzers,Exploits,BLOCK,0.5
9,Normal,Normal,ALLOW,0.5
10,Normal,Normal,ALLOW,0.5
11,Normal,Exploits,BLOCK,0.53
12,Fuzzers,Exploits,BLOCK,0.4
13,Shellcode,Reconnaissance,BLOCK,0.58
14,Normal,Exploits,BLOCK,0.53
15,Analysis,Reconnaissance,BLOCK,0.49
16,Normal,Exploits,BLOCK,0.53
17,Shellcode,Exploits,BLOCK,0.27
18,Normal,Reconnaissance,BLOCK,0.58
19,Worms,Exploits,BLOCK,0.45
20,Normal,Normal,ALLOW,0.5
21,DoS,Reconnaissance,BLOCK,0.49
22,Normal,Exploits,BLOCK,0.53
23,Worms,Exploits,BLOCK,0.36
24,Normal,Exploits,BLOCK,0.44
25,Normal,Normal,ALLOW,0.5
26,Normal,Reconnaissance,BLOCK,0.49
27,Normal,DoS,BLOCK,0.68
28,Normal,Normal,ALLOW,0.5
29,Normal,Exploits,BLOCK,0.51
30,Normal,DoS,BLOCK,0.68
31,Generic,Generic,BLOCK,0.82
32,Normal,Normal,ALLOW,0.5
33,Backdoor,Reconnaissance,BLOCK,0.49
34,Backdoor,Exploits,BLOCK,0.61
0,Normal,Reconnaissance,BLOCK,0.58
1,Normal,Normal,ALLOW,0.5
2,Normal,Normal,ALLOW,0.5
3,Normal,Exploits,BLOCK,0.53
4,Normal,Normal,ALLOW,0.5
5,Exploits,Reconnaissance,BLOCK,0.58
6,Normal,Normal,ALLOW,0.5
